loc,total,deaths,discharged,date,active,perdeath,perdis,peractive
Delhi,4,0,0,2020-03-10,4,0.0,0.0,80.0
Haryana,14,0,0,2020-03-10,14,0.0,0.0,93.33
Karnataka,1,0,0,2020-03-10,1,0.0,0.0,50.0
Kerala,9,0,0,2020-03-10,9,0.0,0.0,90.0
Maharashtra,2,0,0,2020-03-10,2,0.0,0.0,66.67
Punjab,1,0,0,2020-03-10,1,0.0,0.0,50.0
Rajasthan,2,0,0,2020-03-10,2,0.0,0.0,66.67
Tamil Nadu,1,0,0,2020-03-10,1,0.0,0.0,50.0
Telengana,1,0,0,2020-03-10,1,0.0,0.0,50.0
Jammu and Kashmir,1,0,0,2020-03-10,1,0.0,0.0,50.0
Ladakh,2,0,0,2020-03-10,2,0.0,0.0,66.67
Uttar Pradesh,9,0,0,2020-03-10,9,0.0,0.0,90.0
Delhi,5,0,0,2020-03-11,5,0.0,0.0,83.33
Haryana,14,0,0,2020-03-11,14,0.0,0.0,93.33
Karnataka,4,0,0,2020-03-11,4,0.0,0.0,80.0
Kerala,17,0,0,2020-03-11,17,0.0,0.0,94.44
Maharashtra,2,0,0,2020-03-11,2,0.0,0.0,66.67
Punjab,1,0,0,2020-03-11,1,0.0,0.0,50.0
Rajasthan,3,0,0,2020-03-11,3,0.0,0.0,75.0
Tamil Nadu,1,0,0,2020-03-11,1,0.0,0.0,50.0
Telengana,1,0,0,2020-03-11,1,0.0,0.0,50.0
Jammu and Kashmir,1,0,0,2020-03-11,1,0.0,0.0,50.0
Ladakh,2,0,0,2020-03-11,2,0.0,0.0,66.67
Uttar Pradesh,9,0,0,2020-03-11,9,0.0,0.0,90.0
Delhi,6,0,0,2020-03-12,6,0.0,0.0,85.71
Haryana,14,0,0,2020-03-12,14,0.0,0.0,93.33
Karnataka,4,0,0,2020-03-12,4,0.0,0.0,80.0
Kerala,17,0,0,2020-03-12,17,0.0,0.0,94.44
Maharashtra,11,0,0,2020-03-12,11,0.0,0.0,91.67
Punjab,1,0,0,2020-03-12,1,0.0,0.0,50.0
Rajasthan,3,0,0,2020-03-12,3,0.0,0.0,75.0
Tamil Nadu,1,0,0,2020-03-12,1,0.0,0.0,50.0
Telengana,1,0,0,2020-03-12,1,0.0,0.0,50.0
Jammu and Kashmir,1,0,0,2020-03-12,1,0.0,0.0,50.0
Ladakh,3,0,0,2020-03-12,3,0.0,0.0,75.0
Uttar Pradesh,11,0,0,2020-03-12,11,0.0,0.0,91.67
Andhra Pradesh,1,0,0,2020-03-13,1,0.0,0.0,50.0
Delhi,7,1,1,2020-03-13,5,12.5,12.5,62.5
Haryana,14,0,0,2020-03-13,14,0.0,0.0,93.33
Karnataka,6,1,0,2020-03-13,5,14.29,0.0,71.43
Kerala,19,0,3,2020-03-13,16,0.0,15.0,80.0
Maharashtra,14,0,0,2020-03-13,14,0.0,0.0,93.33
Punjab,1,0,0,2020-03-13,1,0.0,0.0,50.0
Rajasthan,3,0,1,2020-03-13,2,0.0,25.0,50.0
Tamil Nadu,1,0,0,2020-03-13,1,0.0,0.0,50.0
Telengana,1,0,0,2020-03-13,1,0.0,0.0,50.0
Jammu and Kashmir,1,0,0,2020-03-13,1,0.0,0.0,50.0
Ladakh,3,0,0,2020-03-13,3,0.0,0.0,75.0
Uttar Pradesh,11,0,5,2020-03-13,6,0.0,41.67,50.0
Andhra Pradesh,1,0,0,2020-03-14,1,0.0,0.0,50.0
Delhi,7,1,1,2020-03-14,5,12.5,12.5,62.5
Haryana,14,0,0,2020-03-14,14,0.0,0.0,93.33
Karnataka,6,1,0,2020-03-14,5,14.29,0.0,71.43
Kerala,19,0,3,2020-03-14,16,0.0,15.0,80.0
Maharashtra,14,0,0,2020-03-14,14,0.0,0.0,93.33
Punjab,1,0,0,2020-03-14,1,0.0,0.0,50.0
Rajasthan,3,0,1,2020-03-14,2,0.0,25.0,50.0
Tamil Nadu,1,0,0,2020-03-14,1,0.0,0.0,50.0
Telengana,1,0,0,2020-03-14,1,0.0,0.0,50.0
Jammu and Kashmir,2,0,0,2020-03-14,2,0.0,0.0,66.67
Ladakh,3,0,0,2020-03-14,3,0.0,0.0,75.0
Uttar Pradesh,12,0,5,2020-03-14,7,0.0,38.46,53.85
Andhra Pradesh,1,0,0,2020-03-15,1,0.0,0.0,50.0
Delhi,7,1,2,2020-03-15,4,12.5,25.0,50.0
Haryana,14,0,0,2020-03-15,14,0.0,0.0,93.33
Karnataka,6,1,0,2020-03-15,5,14.29,0.0,71.43
Kerala,22,0,3,2020-03-15,19,0.0,13.04,82.61
Maharashtra,32,0,0,2020-03-15,32,0.0,0.0,96.97
Punjab,1,0,0,2020-03-15,1,0.0,0.0,50.0
Rajasthan,4,0,3,2020-03-15,1,0.0,60.0,20.0
Tamil Nadu,1,0,0,2020-03-15,1,0.0,0.0,50.0
Telengana,3,0,1,2020-03-15,2,0.0,25.0,50.0
Jammu and Kashmir,2,0,0,2020-03-15,2,0.0,0.0,66.67
Ladakh,3,0,0,2020-03-15,3,0.0,0.0,75.0
Uttar Pradesh,13,0,4,2020-03-15,9,0.0,28.57,64.29
Uttarakhand,1,0,0,2020-03-15,1,0.0,0.0,50.0
Andhra Pradesh,1,0,0,2020-03-16,1,0.0,0.0,50.0
Delhi,7,1,2,2020-03-16,4,12.5,25.0,50.0
Haryana,14,0,0,2020-03-16,14,0.0,0.0,93.33
Karnataka,6,1,0,2020-03-16,5,14.29,0.0,71.43
Kerala,23,0,3,2020-03-16,20,0.0,12.5,83.33
Maharashtra,32,0,0,2020-03-16,32,0.0,0.0,96.97
Odisha,1,0,0,2020-03-16,1,0.0,0.0,50.0
Punjab,1,0,0,2020-03-16,1,0.0,0.0,50.0
Rajasthan,4,0,3,2020-03-16,1,0.0,60.0,20.0
Tamil Nadu,1,0,0,2020-03-16,1,0.0,0.0,50.0
Telengana,3,0,1,2020-03-16,2,0.0,25.0,50.0
Jammu and Kashmir,3,0,0,2020-03-16,3,0.0,0.0,75.0
Ladakh,4,0,0,2020-03-16,4,0.0,0.0,80.0
Uttar Pradesh,13,0,4,2020-03-16,9,0.0,28.57,64.29
Uttarakhand,1,0,0,2020-03-16,1,0.0,0.0,50.0
Andhra Pradesh,1,0,0,2020-03-17,1,0.0,0.0,50.0
Delhi,8,1,2,2020-03-17,5,11.11,22.22,55.56
Haryana,15,0,0,2020-03-17,15,0.0,0.0,93.75
Karnataka,11,1,0,2020-03-17,10,8.33,0.0,83.33
Kerala,26,0,3,2020-03-17,23,0.0,11.11,85.19
Maharashtra,39,1,0,2020-03-17,38,2.5,0.0,95.0
Odisha,1,0,0,2020-03-17,1,0.0,0.0,50.0
Punjab,1,0,0,2020-03-17,1,0.0,0.0,50.0
Rajasthan,4,0,3,2020-03-17,1,0.0,60.0,20.0
Tamil Nadu,1,0,0,2020-03-17,1,0.0,0.0,50.0
Telengana,5,0,1,2020-03-17,4,0.0,16.67,66.67
Jammu and Kashmir,3,0,0,2020-03-17,3,0.0,0.0,75.0
Ladakh,6,0,0,2020-03-17,6,0.0,0.0,85.71
Uttar Pradesh,15,0,5,2020-03-17,10,0.0,31.25,62.5
Uttarakhand,1,0,0,2020-03-17,1,0.0,0.0,50.0
Andhra Pradesh,1,0,0,2020-03-18,1,0.0,0.0,50.0
Delhi,10,1,2,2020-03-18,7,9.09,18.18,63.64
Haryana,17,0,0,2020-03-18,17,0.0,0.0,94.44
Karnataka,11,1,0,2020-03-18,10,8.33,0.0,83.33
Kerala,27,0,3,2020-03-18,24,0.0,10.71,85.71
Maharashtra,42,1,0,2020-03-18,41,2.33,0.0,95.35
Odisha,1,0,0,2020-03-18,1,0.0,0.0,50.0
Puducherry,1,0,0,2020-03-18,1,0.0,0.0,50.0
Punjab,1,0,0,2020-03-18,1,0.0,0.0,50.0
Rajasthan,4,0,3,2020-03-18,1,0.0,60.0,20.0
Tamil Nadu,1,0,0,2020-03-18,1,0.0,0.0,50.0
Telengana,6,0,1,2020-03-18,5,0.0,14.29,71.43
Jammu and Kashmir,3,0,0,2020-03-18,3,0.0,0.0,75.0
Ladakh,8,0,0,2020-03-18,8,0.0,0.0,88.89
Uttar Pradesh,16,0,5,2020-03-18,11,0.0,29.41,64.71
Uttarakhand,1,0,0,2020-03-18,1,0.0,0.0,50.0
West Bengal,1,0,0,2020-03-18,1,0.0,0.0,50.0
Andhra Pradesh,2,0,0,2020-03-19,2,0.0,0.0,66.67
Chhattisgarh,1,0,0,2020-03-19,1,0.0,0.0,50.0
Delhi,12,1,3,2020-03-19,8,7.69,23.08,61.54
Haryana,17,0,0,2020-03-19,17,0.0,0.0,94.44
Karnataka,14,1,0,2020-03-19,13,6.67,0.0,86.67
Kerala,27,0,3,2020-03-19,24,0.0,10.71,85.71
Maharashtra,47,1,0,2020-03-19,46,2.08,0.0,95.83
Odisha,1,0,0,2020-03-19,1,0.0,0.0,50.0
Puducherry,1,0,0,2020-03-19,1,0.0,0.0,50.0
Punjab,2,1,0,2020-03-19,1,33.33,0.0,33.33
Rajasthan,7,0,3,2020-03-19,4,0.0,37.5,50.0
Tamil Nadu,2,0,1,2020-03-19,1,0.0,33.33,33.33
Telengana,6,0,1,2020-03-19,5,0.0,14.29,71.43
Chandigarh,1,0,0,2020-03-19,1,0.0,0.0,50.0
Jammu and Kashmir,4,0,0,2020-03-19,4,0.0,0.0,80.0
Ladakh,8,0,0,2020-03-19,8,0.0,0.0,88.89
Uttar Pradesh,19,0,9,2020-03-19,10,0.0,45.0,50.0
Uttarakhand,1,0,0,2020-03-19,1,0.0,0.0,50.0
West Bengal,1,0,0,2020-03-19,1,0.0,0.0,50.0
Andhra Pradesh,3,0,0,2020-03-20,3,0.0,0.0,75.0
Chhattisgarh,1,0,0,2020-03-20,1,0.0,0.0,50.0
Delhi,17,1,5,2020-03-20,11,5.56,27.78,61.11
Gujarat,5,0,0,2020-03-20,5,0.0,0.0,83.33
Haryana,17,0,0,2020-03-20,17,0.0,0.0,94.44
Karnataka,15,1,1,2020-03-20,13,6.25,6.25,81.25
Kerala,28,0,3,2020-03-20,25,0.0,10.34,86.21
Maharashtra,52,1,0,2020-03-20,51,1.89,0.0,96.23
Odisha,2,0,0,2020-03-20,2,0.0,0.0,66.67
Puducherry,1,0,0,2020-03-20,1,0.0,0.0,50.0
Punjab,2,1,0,2020-03-20,1,33.33,0.0,33.33
Rajasthan,17,0,3,2020-03-20,14,0.0,16.67,77.78
Tamil Nadu,3,0,1,2020-03-20,2,0.0,25.0,50.0
Telengana,17,0,1,2020-03-20,16,0.0,5.56,88.89
Chandigarh,1,0,0,2020-03-20,1,0.0,0.0,50.0
Jammu and Kashmir,4,0,0,2020-03-20,4,0.0,0.0,80.0
Ladakh,10,0,0,2020-03-20,10,0.0,0.0,90.91
Uttar Pradesh,23,0,9,2020-03-20,14,0.0,37.5,58.33
Uttarakhand,3,0,0,2020-03-20,3,0.0,0.0,75.0
West Bengal,2,0,0,2020-03-20,2,0.0,0.0,66.67
Andhra Pradesh,3,0,0,2020-03-21,3,0.0,0.0,75.0
Chhattisgarh,1,0,0,2020-03-21,1,0.0,0.0,50.0
Delhi,26,1,5,2020-03-21,20,3.7,18.52,74.07
Gujarat,7,0,0,2020-03-21,7,0.0,0.0,87.5
Haryana,17,0,0,2020-03-21,17,0.0,0.0,94.44
Himachal Pradesh,2,0,0,2020-03-21,2,0.0,0.0,66.67
Karnataka,15,1,1,2020-03-21,13,6.25,6.25,81.25
Kerala,40,0,3,2020-03-21,37,0.0,7.32,90.24
Madhya Pradesh,4,0,0,2020-03-21,4,0.0,0.0,80.0
Maharashtra,63,1,0,2020-03-21,62,1.56,0.0,96.88
Odisha,2,0,0,2020-03-21,2,0.0,0.0,66.67
Puducherry,1,0,0,2020-03-21,1,0.0,0.0,50.0
Punjab,13,1,0,2020-03-21,12,7.14,0.0,85.71
Rajasthan,17,0,3,2020-03-21,14,0.0,16.67,77.78
Tamil Nadu,3,0,1,2020-03-21,2,0.0,25.0,50.0
Telengana,21,0,1,2020-03-21,20,0.0,4.55,90.91
Chandigarh,1,0,0,2020-03-21,1,0.0,0.0,50.0
Jammu and Kashmir,4,0,0,2020-03-21,4,0.0,0.0,80.0
Ladakh,13,0,0,2020-03-21,13,0.0,0.0,92.86
Uttar Pradesh,24,0,9,2020-03-21,15,0.0,36.0,60.0
Uttarakhand,3,0,0,2020-03-21,3,0.0,0.0,75.0
West Bengal,3,0,0,2020-03-21,3,0.0,0.0,75.0
Andhra Pradesh,5,0,0,2020-03-22,5,0.0,0.0,83.33
Bihar,2,1,0,2020-03-22,1,33.33,0.0,33.33
Chhattisgarh,1,0,0,2020-03-22,1,0.0,0.0,50.0
Delhi,29,1,5,2020-03-22,23,3.33,16.67,76.67
Gujarat,18,1,0,2020-03-22,17,5.26,0.0,89.47
Haryana,21,0,0,2020-03-22,21,0.0,0.0,95.45
Himachal Pradesh,2,0,0,2020-03-22,2,0.0,0.0,66.67
Karnataka,26,1,2,2020-03-22,23,3.7,7.41,85.19
Kerala,52,0,3,2020-03-22,49,0.0,5.66,92.45
Madhya Pradesh,4,0,0,2020-03-22,4,0.0,0.0,80.0
Maharashtra,67,2,0,2020-03-22,65,2.94,0.0,95.59
Odisha,2,0,0,2020-03-22,2,0.0,0.0,66.67
Puducherry,1,0,0,2020-03-22,1,0.0,0.0,50.0
Punjab,21,1,0,2020-03-22,20,4.55,0.0,90.91
Rajasthan,24,0,3,2020-03-22,21,0.0,12.0,84.0
Tamil Nadu,7,0,1,2020-03-22,6,0.0,12.5,75.0
Telengana,22,0,1,2020-03-22,21,0.0,4.35,91.3
Chandigarh,5,0,0,2020-03-22,5,0.0,0.0,83.33
Jammu and Kashmir,4,0,0,2020-03-22,4,0.0,0.0,80.0
Ladakh,13,0,0,2020-03-22,13,0.0,0.0,92.86
Uttar Pradesh,27,0,9,2020-03-22,18,0.0,32.14,64.29
Uttarakhand,3,0,0,2020-03-22,3,0.0,0.0,75.0
West Bengal,4,0,0,2020-03-22,4,0.0,0.0,80.0
Andhra Pradesh,7,0,0,2020-03-23,7,0.0,0.0,87.5
Bihar,2,1,0,2020-03-23,1,33.33,0.0,33.33
Chhattisgarh,1,0,0,2020-03-23,1,0.0,0.0,50.0
Delhi,29,1,5,2020-03-23,23,3.33,16.67,76.67
Gujarat,29,1,0,2020-03-23,28,3.33,0.0,93.33
Haryana,26,0,11,2020-03-23,15,0.0,40.74,55.56
Himachal Pradesh,2,0,0,2020-03-23,2,0.0,0.0,66.67
Karnataka,33,1,2,2020-03-23,30,2.94,5.88,88.24
Kerala,67,0,3,2020-03-23,64,0.0,4.41,94.12
Madhya Pradesh,6,0,0,2020-03-23,6,0.0,0.0,85.71
Maharashtra,74,2,0,2020-03-23,72,2.67,0.0,96.0
Odisha,2,0,0,2020-03-23,2,0.0,0.0,66.67
Puducherry,1,0,0,2020-03-23,1,0.0,0.0,50.0
Punjab,21,1,0,2020-03-23,20,4.55,0.0,90.91
Rajasthan,28,0,3,2020-03-23,25,0.0,10.34,86.21
Tamil Nadu,9,0,1,2020-03-23,8,0.0,10.0,80.0
Telengana,32,0,1,2020-03-23,31,0.0,3.03,93.94
Chandigarh,6,0,0,2020-03-23,6,0.0,0.0,85.71
Jammu and Kashmir,4,0,0,2020-03-23,4,0.0,0.0,80.0
Ladakh,13,0,0,2020-03-23,13,0.0,0.0,92.86
Uttar Pradesh,31,0,9,2020-03-23,22,0.0,28.12,68.75
Uttarakhand,3,0,0,2020-03-23,3,0.0,0.0,75.0
West Bengal,7,1,0,2020-03-23,6,12.5,0.0,75.0
Andhra Pradesh,8,0,0,2020-03-24,8,0.0,0.0,88.89
Bihar,3,1,0,2020-03-24,2,25.0,0.0,50.0
Chhattisgarh,1,0,0,2020-03-24,1,0.0,0.0,50.0
Delhi,30,2,6,2020-03-24,22,6.45,19.35,70.97
Gujarat,33,1,0,2020-03-24,32,2.94,0.0,94.12
Haryana,28,0,11,2020-03-24,17,0.0,37.93,58.62
Himachal Pradesh,3,1,0,2020-03-24,2,25.0,0.0,50.0
Karnataka,37,1,3,2020-03-24,33,2.63,7.89,86.84
Kerala,95,0,4,2020-03-24,91,0.0,4.17,94.79
Madhya Pradesh,7,0,0,2020-03-24,7,0.0,0.0,87.5
Maharashtra,89,2,0,2020-03-24,87,2.22,0.0,96.67
Manipur,1,0,0,2020-03-24,1,0.0,0.0,50.0
Odisha,2,0,0,2020-03-24,2,0.0,0.0,66.67
Puducherry,1,0,0,2020-03-24,1,0.0,0.0,50.0
Punjab,29,1,0,2020-03-24,28,3.33,0.0,93.33
Rajasthan,32,0,3,2020-03-24,29,0.0,9.09,87.88
Tamil Nadu,15,0,1,2020-03-24,14,0.0,6.25,87.5
Telengana,35,0,1,2020-03-24,34,0.0,2.78,94.44
Chandigarh,7,0,0,2020-03-24,7,0.0,0.0,87.5
Jammu and Kashmir,4,0,0,2020-03-24,4,0.0,0.0,80.0
Ladakh,13,0,0,2020-03-24,13,0.0,0.0,92.86
Uttar Pradesh,33,0,11,2020-03-24,22,0.0,32.35,64.71
Uttarakhand,4,0,0,2020-03-24,4,0.0,0.0,80.0
West Bengal,9,1,0,2020-03-24,8,10.0,0.0,80.0
Andhra Pradesh,9,0,1,2020-03-25,8,0.0,10.0,80.0
Bihar,4,1,0,2020-03-25,3,20.0,0.0,60.0
Chhattisgarh,1,0,0,2020-03-25,1,0.0,0.0,50.0
Delhi,31,1,6,2020-03-25,24,3.12,18.75,75.0
Gujarat,38,1,0,2020-03-25,37,2.56,0.0,94.87
Haryana,28,0,11,2020-03-25,17,0.0,37.93,58.62
Himachal Pradesh,3,1,0,2020-03-25,2,25.0,0.0,50.0
Karnataka,41,1,3,2020-03-25,37,2.38,7.14,88.1
Kerala,109,0,4,2020-03-25,105,0.0,3.64,95.45
Madhya Pradesh,14,0,0,2020-03-25,14,0.0,0.0,93.33
Maharashtra,128,3,1,2020-03-25,124,2.33,0.78,96.12
Manipur,1,0,0,2020-03-25,1,0.0,0.0,50.0
Mizoram,1,0,0,2020-03-25,1,0.0,0.0,50.0
Odisha,2,0,0,2020-03-25,2,0.0,0.0,66.67
Puducherry,1,0,0,2020-03-25,1,0.0,0.0,50.0
Punjab,29,1,0,2020-03-25,28,3.33,0.0,93.33
Rajasthan,36,0,3,2020-03-25,33,0.0,8.11,89.19
Tamil Nadu,18,0,1,2020-03-25,17,0.0,5.26,89.47
Telengana,35,0,1,2020-03-25,34,0.0,2.78,94.44
Chandigarh,7,0,0,2020-03-25,7,0.0,0.0,87.5
Jammu and Kashmir,7,0,1,2020-03-25,6,0.0,12.5,75.0
Ladakh,13,0,0,2020-03-25,13,0.0,0.0,92.86
Uttar Pradesh,37,0,11,2020-03-25,26,0.0,28.95,68.42
Uttarakhand,4,0,0,2020-03-25,4,0.0,0.0,80.0
West Bengal,9,1,0,2020-03-25,8,10.0,0.0,80.0
Andaman and Nicobar Islands,1,0,0,2020-03-26,1,0.0,0.0,50.0
Andhra Pradesh,11,0,1,2020-03-26,10,0.0,8.33,83.33
Bihar,6,1,0,2020-03-26,5,14.29,0.0,71.43
Chandigarh,7,0,0,2020-03-26,7,0.0,0.0,87.5
Chhattisgarh,6,0,0,2020-03-26,6,0.0,0.0,85.71
Delhi,36,1,6,2020-03-26,29,2.7,16.22,78.38
Goa,3,0,0,2020-03-26,3,0.0,0.0,75.0
Gujarat,43,3,0,2020-03-26,40,6.82,0.0,90.91
Haryana,30,0,11,2020-03-26,19,0.0,35.48,61.29
Himachal Pradesh,3,1,0,2020-03-26,2,25.0,0.0,50.0
Jammu and Kashmir,13,0,1,2020-03-26,12,0.0,7.14,85.71
Karnataka,55,2,3,2020-03-26,50,3.57,5.36,89.29
Kerala,118,0,6,2020-03-26,112,0.0,5.04,94.12
Ladakh,13,0,0,2020-03-26,13,0.0,0.0,92.86
Madhya Pradesh,20,1,0,2020-03-26,19,4.76,0.0,90.48
Maharashtra,124,3,1,2020-03-26,120,2.4,0.8,96.0
Manipur,1,0,0,2020-03-26,1,0.0,0.0,50.0
Mizoram,1,0,0,2020-03-26,1,0.0,0.0,50.0
Odisha,2,0,0,2020-03-26,2,0.0,0.0,66.67
Puducherry,1,0,0,2020-03-26,1,0.0,0.0,50.0
Punjab,33,1,0,2020-03-26,32,2.94,0.0,94.12
Rajasthan,41,0,3,2020-03-26,38,0.0,7.14,90.48
Tamil Nadu,26,1,1,2020-03-26,24,3.7,3.7,88.89
Telengana,44,0,1,2020-03-26,43,0.0,2.22,95.56
Uttarakhand,5,0,0,2020-03-26,5,0.0,0.0,83.33
Uttar Pradesh,41,0,11,2020-03-26,30,0.0,26.19,71.43
West Bengal,10,1,0,2020-03-26,9,9.09,0.0,81.82
Andaman and Nicobar Islands,1,0,0,2020-03-27,1,0.0,0.0,50.0
Andhra Pradesh,12,0,1,2020-03-27,11,0.0,7.69,84.62
Bihar,6,1,0,2020-03-27,5,14.29,0.0,71.43
Chandigarh,7,0,0,2020-03-27,7,0.0,0.0,87.5
Chhattisgarh,6,0,0,2020-03-27,6,0.0,0.0,85.71
Delhi,36,1,6,2020-03-27,29,2.7,16.22,78.38
Goa,3,0,0,2020-03-27,3,0.0,0.0,75.0
Gujarat,43,3,0,2020-03-27,40,6.82,0.0,90.91
Haryana,30,0,11,2020-03-27,19,0.0,35.48,61.29
Himachal Pradesh,3,1,0,2020-03-27,2,25.0,0.0,50.0
Jammu and Kashmir,13,1,1,2020-03-27,11,7.14,7.14,78.57
Karnataka,55,2,3,2020-03-27,50,3.57,5.36,89.29
Kerala,137,0,11,2020-03-27,126,0.0,7.97,91.3
Ladakh,13,0,3,2020-03-27,10,0.0,21.43,71.43
Madhya Pradesh,20,1,0,2020-03-27,19,4.76,0.0,90.48
Maharashtra,130,4,15,2020-03-27,111,3.05,11.45,84.73
Manipur,1,0,0,2020-03-27,1,0.0,0.0,50.0
Mizoram,1,0,0,2020-03-27,1,0.0,0.0,50.0
Odisha,2,0,0,2020-03-27,2,0.0,0.0,66.67
Puducherry,1,0,0,2020-03-27,1,0.0,0.0,50.0
Punjab,33,1,0,2020-03-27,32,2.94,0.0,94.12
Rajasthan,41,0,3,2020-03-27,38,0.0,7.14,90.48
Tamil Nadu,29,1,1,2020-03-27,27,3.33,3.33,90.0
Telengana,45,0,1,2020-03-27,44,0.0,2.17,95.65
Uttarakhand,5,0,0,2020-03-27,5,0.0,0.0,83.33
Uttar Pradesh,41,0,11,2020-03-27,30,0.0,26.19,71.43
West Bengal,10,1,0,2020-03-27,9,9.09,0.0,81.82
Andhra Pradesh,14,0,1,2020-03-28,13,0.0,6.67,86.67
Andaman and Nicobar Islands,6,0,0,2020-03-28,6,0.0,0.0,85.71
Bihar,9,1,0,2020-03-28,8,10.0,0.0,80.0
Chandigarh,8,0,0,2020-03-28,8,0.0,0.0,88.89
Chhattisgarh,6,0,0,2020-03-28,6,0.0,0.0,85.71
Delhi,39,1,6,2020-03-28,32,2.5,15.0,80.0
Goa,3,0,0,2020-03-28,3,0.0,0.0,75.0
Gujarat,45,3,0,2020-03-28,42,6.52,0.0,91.3
Haryana,33,0,12,2020-03-28,21,0.0,35.29,61.76
Himachal Pradesh,3,1,0,2020-03-28,2,25.0,0.0,50.0
Jammu and Kashmir,20,1,1,2020-03-28,18,4.76,4.76,85.71
Karnataka,55,2,3,2020-03-28,50,3.57,5.36,89.29
Kerala,176,0,11,2020-03-28,165,0.0,6.21,93.22
Ladakh,13,0,3,2020-03-28,10,0.0,21.43,71.43
Madhya Pradesh,30,2,0,2020-03-28,28,6.45,0.0,90.32
Maharashtra,180,5,25,2020-03-28,150,2.76,13.81,82.87
Manipur,1,0,0,2020-03-28,1,0.0,0.0,50.0
Mizoram,1,0,0,2020-03-28,1,0.0,0.0,50.0
Odisha,3,0,0,2020-03-28,3,0.0,0.0,75.0
Puducherry,1,0,0,2020-03-28,1,0.0,0.0,50.0
Punjab,38,1,1,2020-03-28,36,2.56,2.56,92.31
Rajasthan,54,0,3,2020-03-28,51,0.0,5.45,92.73
Tamil Nadu,40,1,2,2020-03-28,37,2.44,4.88,90.24
Telengana,56,0,1,2020-03-28,55,0.0,1.75,96.49
Uttarakhand,5,0,0,2020-03-28,5,0.0,0.0,83.33
Uttar Pradesh,55,0,11,2020-03-28,44,0.0,19.64,78.57
West Bengal,15,1,0,2020-03-28,14,6.25,0.0,87.5
Andhra Pradesh,19,0,1,2020-03-29,18,0.0,5.0,90.0
Andaman and Nicobar Islands,9,0,0,2020-03-29,9,0.0,0.0,90.0
Bihar,11,1,0,2020-03-29,10,8.33,0.0,83.33
Chandigarh,8,0,0,2020-03-29,8,0.0,0.0,88.89
Chhattisgarh,7,0,0,2020-03-29,7,0.0,0.0,87.5
Delhi,49,2,6,2020-03-29,41,4.0,12.0,82.0
Goa,5,0,0,2020-03-29,5,0.0,0.0,83.33
Gujarat,58,5,1,2020-03-29,52,8.47,1.69,88.14
Haryana,33,0,17,2020-03-29,16,0.0,50.0,47.06
Himachal Pradesh,3,1,0,2020-03-29,2,25.0,0.0,50.0
Jammu and Kashmir,31,2,1,2020-03-29,28,6.25,3.12,87.5
Karnataka,76,3,5,2020-03-29,68,3.9,6.49,88.31
Kerala,182,1,15,2020-03-29,166,0.55,8.2,90.71
Ladakh,13,0,3,2020-03-29,10,0.0,21.43,71.43
Madhya Pradesh,30,2,0,2020-03-29,28,6.45,0.0,90.32
Maharashtra,186,6,25,2020-03-29,155,3.21,13.37,82.89
Manipur,1,0,0,2020-03-29,1,0.0,0.0,50.0
Mizoram,1,0,0,2020-03-29,1,0.0,0.0,50.0
Odisha,3,0,0,2020-03-29,3,0.0,0.0,75.0
Puducherry,1,0,0,2020-03-29,1,0.0,0.0,50.0
Punjab,38,1,1,2020-03-29,36,2.56,2.56,92.31
Rajasthan,55,0,3,2020-03-29,52,0.0,5.36,92.86
Tamil Nadu,49,1,4,2020-03-29,44,2.0,8.0,88.0
Telengana,66,1,1,2020-03-29,64,1.49,1.49,95.52
Uttarakhand,7,0,2,2020-03-29,5,0.0,25.0,62.5
Uttar Pradesh,65,0,11,2020-03-29,54,0.0,16.67,81.82
West Bengal,18,1,0,2020-03-29,17,5.26,0.0,89.47
Andhra Pradesh,23,0,1,2020-03-30,22,0.0,4.17,91.67
Andaman and Nicobar Islands,9,0,0,2020-03-30,9,0.0,0.0,90.0
Bihar,15,1,0,2020-03-30,14,6.25,0.0,87.5
Chandigarh,8,0,0,2020-03-30,8,0.0,0.0,88.89
Chhattisgarh,7,0,0,2020-03-30,7,0.0,0.0,87.5
Delhi,87,2,6,2020-03-30,79,2.27,6.82,89.77
Goa,5,0,0,2020-03-30,5,0.0,0.0,83.33
Gujarat,69,6,1,2020-03-30,62,8.57,1.43,88.57
Haryana,36,0,18,2020-03-30,18,0.0,48.65,48.65
Himachal Pradesh,3,1,0,2020-03-30,2,25.0,0.0,50.0
Jammu and Kashmir,48,2,2,2020-03-30,44,4.08,4.08,89.8
Karnataka,83,3,5,2020-03-30,75,3.57,5.95,89.29
Kerala,202,1,19,2020-03-30,182,0.49,9.36,89.66
Ladakh,13,0,3,2020-03-30,10,0.0,21.43,71.43
Madhya Pradesh,47,3,0,2020-03-30,44,6.25,0.0,91.67
Maharashtra,198,8,25,2020-03-30,165,4.02,12.56,82.91
Manipur,1,0,0,2020-03-30,1,0.0,0.0,50.0
Mizoram,1,0,0,2020-03-30,1,0.0,0.0,50.0
Odisha,3,0,0,2020-03-30,3,0.0,0.0,75.0
Puducherry,1,0,0,2020-03-30,1,0.0,0.0,50.0
Punjab,38,1,1,2020-03-30,36,2.56,2.56,92.31
Rajasthan,59,0,3,2020-03-30,56,0.0,5.0,93.33
Tamil Nadu,67,1,4,2020-03-30,62,1.47,5.88,91.18
