active,date,deaths,discharged,loc,peractive,perdeath,perdis,total
321.0,2020-05-04,0.0,106.0,Delhi,0.6700000000000017,-0.14000000000000012,-0.5299999999999976,427.0
280.0,2020-05-05,0.0,69.0,Delhi,0.8299999999999983,-0.09999999999999987,-0.7200000000000024,349.0
169.0,2020-05-06,0.0,37.0,Delhi,0.5,-0.06000000000000005,-0.4599999999999973,206.0
353.0,2020-05-07,1.0,74.0,Delhi,0.9699999999999989,-0.08000000000000007,-0.8900000000000006,428.0
58.0,2020-05-08,1.0,389.0,Delhi,-4.340000000000003,-0.06999999999999984,4.419999999999998,448.0
247.0,2020-05-09,2.0,89.0,Delhi,0.3400000000000034,-0.020000000000000018,-0.3200000000000003,338.0
219.0,2020-05-10,5.0,0.0,Delhi,1.0600000000000023,0.040000000000000036,-1.0899999999999999,224.0
332.0,2020-05-11,0.0,49.0,Delhi,1.0499999999999972,-0.07000000000000006,-0.9899999999999984,381.0
250.0,2020-05-12,0.0,60.0,Delhi,0.5,-0.040000000000000036,-0.46000000000000085,310.0
10.0,2020-05-13,13.0,383.0,Delhi,-3.5700000000000074,0.11999999999999988,3.450000000000003,406.0
-7.0,2020-05-14,20.0,346.0,Delhi,-3.049999999999997,0.20000000000000018,2.8499999999999943,359.0
276.0,2020-05-15,9.0,187.0,Delhi,-0.25,0.030000000000000027,0.22000000000000597,472.0
-56.0,2020-05-16,8.0,473.0,Delhi,-3.6199999999999974,0.019999999999999796,3.5999999999999943,425.0
24.0,2020-05-17,6.0,408.0,Delhi,-2.520000000000003,0.0,2.520000000000003,438.0
131.0,2020-05-18,31.0,559.0,Delhi,-2.75,0.2100000000000002,2.539999999999999,721.0
-8.0,2020-05-19,8.0,0.0,Delhi,-0.0799999999999983,0.07999999999999985,0.0,0.0
235.0,2020-05-20,0.0,265.0,Delhi,-0.3200000000000003,-0.07999999999999985,0.3999999999999986,500.0
84.0,2020-05-21,8.0,442.0,Delhi,-1.8099999999999952,0.0,1.8200000000000003,534.0
178.0,2020-05-22,18.0,375.0,Delhi,-1.0,0.06999999999999984,0.9200000000000017,571.0
316.0,2020-05-23,14.0,330.0,Delhi,-0.15000000000000568,0.030000000000000027,0.11999999999999744,660.0
198.0,2020-05-24,23.0,370.0,Delhi,-0.769999999999996,0.10000000000000009,0.6700000000000017,591.0
205.0,2020-05-25,30.0,273.0,Delhi,-0.35999999999999943,0.15999999999999992,0.20000000000000284,508.0
389.0,2020-05-26,15.0,231.0,Delhi,0.5399999999999991,0.010000000000000009,-0.5600000000000023,635.0
-52.0,2020-05-27,12.0,452.0,Delhi,-1.7800000000000011,0.030000000000000027,1.75,412.0
736.0,2020-05-28,15.0,41.0,Delhi,2.3299999999999983,0.0,-2.3200000000000003,792.0
780.0,2020-05-29,13.0,231.0,Delhi,1.6200000000000045,-0.050000000000000044,-1.5700000000000003,1024.0
672.0,2020-05-30,82.0,351.0,Delhi,0.5599999999999952,0.3500000000000001,-0.9099999999999966,1105.0
916.0,2020-05-31,18.0,229.0,Delhi,1.6400000000000006,-0.04999999999999982,-1.6000000000000014,1163.0
835.0,2020-06-01,57.0,403.0,Delhi,0.6700000000000017,0.13999999999999968,-0.8100000000000023,1295.0
672.0,2020-06-02,50.0,268.0,Delhi,0.6199999999999974,0.1299999999999999,-0.740000000000002,990.0
768.0,2020-06-03,33.0,497.0,Delhi,0.21000000000000085,0.0,-0.21999999999999886,1298.0
1164.0,2020-06-04,50.0,299.0,Delhi,1.3599999999999994,0.050000000000000266,-1.3999999999999986,1513.0
959.0,2020-06-05,44.0,356.0,Delhi,0.730000000000004,0.040000000000000036,-0.769999999999996,1359.0
855.0,2020-06-06,58.0,417.0,Delhi,0.3299999999999983,0.08999999999999986,-0.4200000000000017,1330.0
918.0,2020-06-07,53.0,349.0,Delhi,0.5499999999999972,0.06000000000000005,-0.6099999999999994,1320.0
896.0,2020-06-08,51.0,335.0,Delhi,0.490000000000002,0.06000000000000005,-0.5500000000000043,1282.0
587.0,2020-06-09,62.0,358.0,Delhi,-0.030000000000001137,0.10999999999999988,-0.0799999999999983,1007.0
831.0,2020-06-10,31.0,504.0,Delhi,0.0799999999999983,-0.029999999999999805,-0.04999999999999716,1366.0
1038.0,2020-06-11,79.0,384.0,Delhi,0.45000000000000284,0.10999999999999988,-0.5600000000000023,1501.0
1290.0,2020-06-12,101.0,486.0,Delhi,0.490000000000002,0.1299999999999999,-0.6199999999999974,1877.0
1341.0,2020-06-13,129.0,667.0,Delhi,0.14999999999999858,0.16999999999999993,-0.3200000000000003,2137.0
530.0,2020-06-14,57.0,1547.0,Delhi,-1.9399999999999977,-0.040000000000000036,1.9799999999999969,2134.0
1290.0,2020-06-15,56.0,878.0,Delhi,-0.020000000000003126,-0.03999999999999959,0.060000000000002274,2224.0
970.0,2020-06-16,73.0,604.0,Delhi,0.020000000000003126,0.04999999999999982,-0.07000000000000028,1647.0
1349.0,2020-06-17,437.0,73.0,Delhi,0.5899999999999963,0.8400000000000003,-1.4299999999999997,1859.0
1390.0,2020-06-18,67.0,957.0,Delhi,-0.07000000000000028,-0.07000000000000028,0.14000000000000057,2414.0
-1072.0,2020-06-19,65.0,3884.0,Delhi,-5.539999999999999,-0.10000000000000009,5.640000000000001,2877.0
843.0,2020-06-20,66.0,2228.0,Delhi,-1.5600000000000023,-0.10999999999999988,1.6699999999999946,3137.0
-4172.0,2020-06-21,77.0,7725.0,Delhi,-10.669999999999995,-0.10999999999999988,10.780000000000001,3630.0
1218.0,2020-06-22,63.0,1719.0,Delhi,-0.030000000000001137,-0.08000000000000007,0.10999999999999943,3000.0
-738.0,2020-06-23,58.0,3589.0,Delhi,-3.0799999999999983,-0.08000000000000007,3.1600000000000037,2909.0
1168.0,2020-06-24,68.0,2711.0,Delhi,-0.5,-0.10999999999999988,0.6099999999999994,3947.0
1600.0,2020-06-25,64.0,2124.0,Delhi,0.25,-0.0900000000000003,-0.1600000000000037,3788.0
-2.0,2020-06-26,64.0,3328.0,Delhi,-1.740000000000002,-0.06999999999999984,1.8000000000000043,3390.0
1071.0,2020-06-27,63.0,2326.0,Delhi,-0.21999999999999886,-0.06000000000000005,0.29999999999999716,3460.0
672.0,2020-06-28,66.0,2210.0,Delhi,-0.480000000000004,-0.040000000000000036,0.509999999999998,2948.0
-482.0,2020-06-29,65.0,3306.0,Delhi,-1.8099999999999952,-0.029999999999999805,1.8400000000000034,2889.0
-1601.0,2020-06-30,57.0,3628.0,Delhi,-2.700000000000003,-0.010000000000000231,2.710000000000001,2084.0
24.0,2020-07-01,62.0,2113.0,Delhi,-0.75,-0.009999999999999787,0.7600000000000051,2199.0
737.0,2020-07-02,61.0,1644.0,Delhi,0.0,-0.020000000000000018,0.009999999999990905,2442.0
-703.0,2020-07-03,61.0,3015.0,Delhi,-1.5300000000000011,-0.010000000000000231,1.5600000000000023,2373.0
-156.0,2020-07-04,59.0,2617.0,Delhi,-0.9299999999999997,-0.020000000000000018,0.9399999999999977,2520.0
-208.0,2020-07-05,81.0,2632.0,Delhi,-0.9199999999999982,0.0,0.9200000000000017,2505.0
-902.0,2020-07-06,63.0,3083.0,Delhi,-1.5100000000000016,-0.009999999999999787,1.519999999999996,2244.0
582.0,2020-07-07,48.0,749.0,Delhi,0.23000000000000043,0.009999999999999787,-0.23999999999999488,1379.0
-171.0,2020-07-08,50.0,2129.0,Delhi,-0.6600000000000001,-0.009999999999999787,0.6700000000000017,2008.0
-1997.0,2020-07-09,48.0,3982.0,Delhi,-2.3900000000000006,-0.020000000000000018,2.3999999999999915,2033.0
-1885.0,2020-07-10,45.0,4027.0,Delhi,-2.210000000000001,-0.020000000000000018,2.240000000000009,2187.0
-421.0,2020-07-11,42.0,2468.0,Delhi,-0.7699999999999996,-0.020000000000000018,0.789999999999992,2089.0
-1251.0,2020-07-12,34.0,2998.0,Delhi,-1.4399999999999977,-0.010000000000000231,1.460000000000008,1781.0
-740.0,2020-07-13,37.0,2276.0,Delhi,-0.9100000000000001,-0.009999999999999787,0.9200000000000017,1573.0
-138.0,2020-07-14,40.0,1344.0,Delhi,-0.3100000000000023,0.0,0.29999999999999716,1246.0
-353.0,2020-07-15,35.0,1924.0,Delhi,-0.5399999999999991,-0.009999999999999787,0.5499999999999972,1606.0
-857.0,2020-07-16,41.0,2463.0,Delhi,-0.9599999999999991,-0.010000000000000231,0.9699999999999989,1647.0
0.0,2020-03-11,0.0,0.0,Haryana,0.0,0.0,0.0,0.0
0.0,2020-03-12,0.0,0.0,Haryana,0.0,0.0,0.0,0.0
0.0,2020-03-13,0.0,0.0,Haryana,0.0,0.0,0.0,0.0
0.0,2020-03-14,0.0,0.0,Haryana,0.0,0.0,0.0,0.0
0.0,2020-03-15,0.0,0.0,Haryana,0.0,0.0,0.0,0.0
0.0,2020-03-16,0.0,0.0,Haryana,0.0,0.0,0.0,0.0
1.0,2020-03-17,0.0,0.0,Haryana,0.0,0.0,0.0,1.0
2.0,2020-03-18,0.0,0.0,Haryana,0.0,0.0,0.0,2.0
0.0,2020-03-19,0.0,0.0,Haryana,0.0,0.0,0.0,0.0
0.0,2020-03-20,0.0,0.0,Haryana,0.0,0.0,0.0,0.0
0.0,2020-03-21,0.0,0.0,Haryana,0.0,0.0,0.0,0.0
4.0,2020-03-22,0.0,0.0,Haryana,0.0,0.0,0.0,4.0
-6.0,2020-03-23,0.0,11.0,Haryana,-42.31,0.0,42.31,5.0
2.0,2020-03-24,0.0,0.0,Haryana,3.020000000000003,0.0,-3.020000000000003,2.0
0.0,2020-03-25,0.0,0.0,Haryana,0.0,0.0,0.0,0.0
2.0,2020-03-26,0.0,0.0,Haryana,2.6199999999999974,0.0,-2.6199999999999974,2.0
0.0,2020-03-27,0.0,0.0,Haryana,0.0,0.0,0.0,0.0
2.0,2020-03-28,0.0,1.0,Haryana,0.3100000000000023,0.0,-0.3100000000000023,3.0
-5.0,2020-03-29,0.0,5.0,Haryana,-15.160000000000004,0.0,15.160000000000004,0.0
2.0,2020-03-30,0.0,1.0,Haryana,1.5200000000000031,0.0,-1.5200000000000031,3.0
1.0,2020-03-31,0.0,3.0,Haryana,-2.5,0.0,2.5,4.0
3.0,2020-04-01,0.0,0.0,Haryana,3.6599999999999966,0.0,-3.6599999999999966,3.0
0.0,2020-04-02,0.0,0.0,Haryana,0.0,0.0,0.0,0.0
3.0,2020-04-03,0.0,3.0,Haryana,-0.13999999999999346,0.0,0.13999999999999346,6.0
0.0,2020-04-04,0.0,0.0,Haryana,0.0,0.0,0.0,0.0
8.0,2020-04-05,1.0,1.0,Haryana,4.909999999999997,1.69,-6.609999999999999,10.0
25.0,2020-04-06,0.0,0.0,Haryana,13.119999999999997,-0.5,-12.609999999999996,25.0
6.0,2020-04-07,0.0,0.0,Haryana,2.0600000000000023,-0.07999999999999985,-1.9800000000000004,6.0
52.0,2020-04-08,2.0,3.0,Haryana,7.799999999999997,0.9299999999999999,-8.73,57.0
21.0,2020-04-09,0.0,1.0,Haryana,2.1599999999999966,-0.26,-1.8900000000000006,22.0
0.0,2020-04-10,0.0,0.0,Haryana,0.0,0.0,0.0,0.0
8.0,2020-04-11,0.0,0.0,Haryana,0.8500000000000085,-0.09000000000000008,-0.7800000000000011,8.0
8.0,2020-04-12,0.0,0.0,Haryana,0.7800000000000011,-0.06999999999999984,-0.6999999999999993,8.0
0.0,2020-04-13,0.0,0.0,Haryana,0.0,0.0,0.0,0.0
9.0,2020-04-14,0.0,5.0,Haryana,-1.2900000000000063,-0.1100000000000001,1.4100000000000001,14.0
0.0,2020-04-15,0.0,0.0,Haryana,0.0,0.0,0.0,0.0
